分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
Power Supply,,一个 ZBS Metad Follower 所在的主节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,Zookeeper Leader 所在的节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,一个 Zookeeper Follower 所在的节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,ZBS Taskd Leader 所在的节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,一个 ZBS Taskd Follower 所在的节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,ZBS NTPd Leader 所在的节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,一个 ZBS NTPd Follower 所在的节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,Primary MongoDB 所在的节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,一个 Secondary MongoDB 所在的节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,运行 Prometheus 服务的节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,Siren Leader 所在的节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,NTPm Leader 所在的节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,一个 NTPm Follower 所在的节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,集群内 NTP Server 所在的节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,一个非集群内 NTP Server 所在的节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,一个存储节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,,（物理机部署）双活集群的仲裁节点的电源输出欠压,,P3,Pending,,,,,
Power Supply,输出过压,ZBS Metad Leader 所在的主节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,一个 ZBS Metad Follower 所在的主节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,Zookeeper Leader 所在的节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,一个 Zookeeper Follower 所在的节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,ZBS Taskd Leader 所在的节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,一个 ZBS Taskd Follower 所在的节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,ZBS NTPd Leader 所在的节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,一个 ZBS NTPd Follower 所在的节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,Primary MongoDB 所在的节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,一个 Secondary MongoDB 所在的节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,运行 Prometheus 服务的节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,Siren Leader 所在的节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,NTPm Leader 所在的节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,一个 NTPm Follower 所在的节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,集群内 NTP Server 所在的节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,一个非集群内 NTP Server 所在的节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,一个存储节点的电源输出过压,,P3,Pending,,,,,
Power Supply,,（物理机部署）双活集群的仲裁节点的电源输出过压,,P3,Pending,,,,,
Power Supply,输出过流,ZBS Metad Leader 所在的主节点的电源输出过流,,P3,Pending,,,,,
Power Supply,,一个 ZBS Metad Follower 所在的主节点的电源输出过流,,P3,Pending,,,,,
Power Supply,,Zookeeper Leader 所在的节点的电源输出过流,,P3,Pending,,,,,
