分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
Node,优雅重启,一个 ZBS Taskd Follower 所在的节点优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个 ZBS Taskd Follower 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,ZBS NTPd Leader 所在的节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,ZBS NTPd Leader 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个 ZBS NTPd Follower 所在的节点优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个 ZBS NTPd Follower 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,Primary MongoDB 所在的节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,Y
Node,优雅重启,Primary MongoDB 所在的节点持续优雅重启 30 分钟以上,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（5 主节点集群或双活集群）Primary MongoDB 所在的节点和一个 Secondary MongoDB 所在的节点同时优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（5 主节点集群或双活集群）Primary MongoDB 所在的节点和一个 Secondary MongoDB 所在的节点同时持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个 Secondary MongoDB 所在的节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个 Secondary MongoDB 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,Y,,
Node,优雅重启,（5 主节点集群或双活集群）两个 Secondary MongoDB 所在的节点同时优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（5 主节点集群或双活集群）两个 Secondary MongoDB 所在的节点同时持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,运行 Prometheus 服务的节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,运行 Prometheus 服务的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,Siren Leader 所在的节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,Siren Leader 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,NTPm Leader 所在的节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,NTPm Leader 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个 NTPm Follower 所在的节点优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个 NTPm Follower 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,集群内 NTP Server 所在的节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,集群内 NTP Server 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个非集群内 NTP Server 所在的节点优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个非集群内 NTP Server 所在的节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个存储节点优雅重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,一个存储节点持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,Y,,
Node,优雅重启,（3 副本集群）一个主节点和一个存储节点同时优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（3 副本集群）一个主节点和一个存储节点同时持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（3 副本集群）两个存储节点同时优雅重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,（3 副本集群）两个存储节点同时持续优雅重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,双活集群的仲裁节点优雅重启一次,,P3,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,双活集群的仲裁节点持续优雅重启 30 分钟以上,,P3,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,优雅重启,随机顺序依次优雅重启所有主节点和双活集群的仲裁节点,,P3,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,ZBS Metad Leader 所在的主节点 Crash 重启一次,echo 1 > /proc/sys/kernel/sysrq && echo 'c' > /proc/sysrq-trigger,P0,Automated,testcases.fault.node.power.fault_node_reboot,Y,,,
Node,系统 Crash 重启,ZBS Metad Leader 所在的主节点持续 Crash 重启 30 分钟以上,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,（5 主节点集群或双活集群）两个主节点（包括 ZBS Metad Leader 所在的节点）同时 Crash 重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,（5 主节点集群或双活集群）两个主节点（包括 ZBS Metad Leader 所在的节点）同时持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,一个 ZBS Metad Follower 所在的主节点 Crash 重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,Y,,,
Node,系统 Crash 重启,一个 ZBS Metad Follower 所在的主节点持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,Y,,
Node,系统 Crash 重启,（5 主节点集群或双活集群）两个 ZBS Metad Follower 所在的主节点同时 Crash 重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,（5 主节点集群或双活集群）两个 ZBS Metad Follower 所在的主节点同时持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,Zookeeper Leader 所在的节点 Crash 重启一次,,P0,Automated,testcases.fault.node.power.fault_node_reboot,Y,,,
Node,系统 Crash 重启,Zookeeper Leader 所在的节点持续 Crash 重启 30 分钟以上,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点同时 Crash 重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点同时持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,一个 Zookeeper Follower 所在的节点 Crash 重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,Y,,,
Node,系统 Crash 重启,一个 Zookeeper Follower 所在的节点持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,Y,,
Node,系统 Crash 重启,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点同时 Crash 重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点同时持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,ZBS Taskd Leader 所在的节点 Crash 重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,ZBS Taskd Leader 所在的节点持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,一个 ZBS Taskd Follower 所在的节点 Crash 重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,一个 ZBS Taskd Follower 所在的节点持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,ZBS NTPd Leader 所在的节点 Crash 重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,ZBS NTPd Leader 所在的节点持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,一个 ZBS NTPd Follower 所在的节点 Crash 重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,一个 ZBS NTPd Follower 所在的节点持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,Primary MongoDB 所在的节点 Crash 重启一次,,P0,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,Primary MongoDB 所在的节点持续 Crash 重启 30 分钟以上,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,（5 主节点集群或双活集群）Primary MongoDB 所在的节点和一个 Secondary MongoDB 所在的节点同时 Crash 重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,（5 主节点集群或双活集群）Primary MongoDB 所在的节点和一个 Secondary MongoDB 所在的节点同时持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,一个 Secondary MongoDB 所在的节点 Crash 重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,一个 Secondary MongoDB 所在的节点持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,（5 主节点集群或双活集群）两个 Secondary MongoDB 所在的节点同时 Crash 重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,（5 主节点集群或双活集群）两个 Secondary MongoDB 所在的节点同时持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,运行 Prometheus 服务的节点 Crash 重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,运行 Prometheus 服务的节点持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,Siren Leader 所在的节点 Crash 重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,Siren Leader 所在的节点持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,NTPm Leader 所在的节点 Crash 重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,NTPm Leader 所在的节点持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,一个 NTPm Follower 所在的节点 Crash 重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,一个 NTPm Follower 所在的节点持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,集群内 NTP Server 所在的节点 Crash 重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,集群内 NTP Server 所在的节点持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,一个非集群内 NTP Server 所在的节点 Crash 重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,一个非集群内 NTP Server 所在的节点持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,一个存储节点 Crash 重启一次,,P1,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,一个存储节点持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,（3 副本集群）一个主节点和一个存储节点同时 Crash 重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
